,merchant_abn,tags1,tags2,tags3,sum(dollar_value),count(1),avg(merchant_fraud)
51,15710208349,[motor vehicle supplies and new parts],b,4.32,19352.789585324797,4,
52,10441711491,[motor vehicle supplies and new parts],a,5.77,23836.884845394132,4,
53,14616123867,"[antique shops - sales, repairs, and restoration services]",a,5.64,42914.26293017897,4,
54,34205660775,"[antique shops - sales, repairs, and restoration services]",a,6.3,43076.802115432496,4,
55,64143552561,"[jewelry, watch, clock, and silverware shops]",a,5.88,83088.46589524273,4,
56,24526454463,"[jewelry, watch, clock, and silverware shops]",c,2.95,28200.736626444163,4,
57,51087215585,"[jewelry, watch, clock, and silverware shops]",b,4.44,30932.93478303057,4,
58,65959377833,"[jewelry, watch, clock, and silverware shops]",c,2.01,28552.006859257788,4,
59,64648788229,"[jewelry, watch, clock, and silverware shops]",c,2.1,11750.375493442512,5,
60,70814127470,[telecom],a,5.78,22253.82171336291,5,
61,51267358936,"[antique shops - sales, repairs, and restoration services]",b,4.56,21928.648402662402,5,
62,10881038707,"[jewelry, watch, clock, and silverware shops]",a,6.24,58464.247652428036,5,
63,79081516258,"[antique shops - sales, repairs, and restoration services]",b,3.45,58451.527688379145,5,
64,47797405944,[art dealers and galleries],b,3.75,24913.348206901755,5,
65,16104218122,[motor vehicle supplies and new parts],b,4.29,30094.961817115705,5,
66,19340071232,"[jewelry, watch, clock, and silverware shops]",b,3.6,44807.84293116076,5,
67,69853421807,"[equipment, tool, furniture, and appliance rent al and leasing]",a,6.28,14062.687323902042,5,
68,20884516643,[motor vehicle supplies and new parts],c,2.24,15265.892773815413,5,
69,20284137308,[motor vehicle supplies and new parts],a,6.87,22147.95386764842,5,
70,10165489824,"[jewelry, watch, clock, and silverware shops]",b,4.4,56180.473857030534,5,
71,14004773634,"[antique shops - sales, repairs, and restoration services]",a,5.95,55592.748410034954,5,
72,47441593515,"[jewelry, watch, clock, and silverware shops]",c,2.17,57483.81358685925,5,
73,33068332703,"[jewelry, watch, clock, and silverware shops]",b,4.93,49615.81266788422,5,
74,12983555508,"[jewelry, watch, clock, and silverware shops]",b,5.09,55507.03591141439,6,
75,24102148742,"[equipment, tool, furniture, and appliance rent al and leasing]",b,4.24,15774.991876966382,6,
76,22883189698,[art dealers and galleries],b,3.21,15026.782648994347,6,
77,54277261175,"[antique shops - sales, repairs, and restoration services]",c,1.46,123943.55809368225,6,
78,72064300998,[telecom],b,4.85,38108.42688121437,6,
79,16156289887,"[jewelry, watch, clock, and silverware shops]",c,3.02,35959.41951550554,6,
80,65892608066,"[computer programming , data processing, and integrated systems design services]",b,3.88,34111.1886108973,6,
81,72300821269,"[equipment, tool, furniture, and appliance rent al and  leasing]",d,0.95,30825.919472405756,6,
82,94009500943,"[antique shops - sales, repairs, and restoration services]",b,3.53,50464.79837341352,6,
83,38447958250,"[furniture, home furnishings and equipment shops, and manufacturers, except appliances]",b,4.39,18176.548832914697,6,
84,16002602393,[telecom],a,6.68,28503.456111420466,6,
85,88745863985,[art dealers and galleries],a,6.06,17486.210540008455,6,
86,68480514246,[motor vehicle supplies and new parts],b,5.05,19184.93384263457,6,
87,84787662573,"[antique shops - sales, repairs, and restoration services]",c,3.05,106196.39329427553,6,
88,27518736748,[art dealers and galleries],c,2.85,14374.487654248456,6,
89,96141360246,[art dealers and galleries],c,2.02,27321.56782089064,6,
90,15457638036,[telecom],a,6.97,22072.059622512737,6,
91,65415777658,[art dealers and galleries],c,1.72,17741.055929606046,6,
92,80762852492,"[equipment, tool, furniture, and appliance rent al and leasing]",b,4.26,25967.076659649058,6,
93,29027010572,"[jewelry, watch, clock, and silverware shops]",c,1.9,114499.53909462306,6,
94,61939167097,[motor vehicle supplies and new parts],b,4.66,32503.91837694119,6,
95,34775154874,"[furniture, home furnishings and equipment shops, and manufacturers, except appliances]",c,2.46,14263.192222357631,6,
96,96190048310,"[equipment, tool, furniture, and appliance rent al and leasing]",c,2.09,25631.07159647364,6,
97,22019281430,[art dealers and galleries],b,4.42,25088.86629580552,6,
98,93113531213,[art dealers and galleries],c,1.53,16036.211735450177,7,
99,37534260149,"[hobby, toy and game shops]",c,1.75,11831.218301092196,7,
100,50940521426,"[equipment, tool, furniture, and appliance rent al and leasing]",c,2.69,16923.751424360467,7,
101,30769373086,"[jewelry, watch, clock, and silverware shops]",c,1.72,24403.47886402098,7,
102,82882460979,"[equipment, tool, furniture, and appliance rent al and leasing]",c,2.44,29568.79305424682,7,
103,88999491954,[telecom],a,6.47,25468.849393037428,7,
104,21350600012,"[jewelry, watch, clock, and silverware shops]",b,4.72,50757.97315005993,7,
105,37815517789,"[jewelry, watch, clock, and silverware shops]",b,4.41,87986.16408635554,7,
106,52266154043,[art dealers and galleries],a,6.88,10766.028035085252,7,
107,16528286991,"[equipment, tool, furniture, and appliance rent al and leasing]",b,4.46,12183.956661048824,7,
108,78908309708,[art dealers and galleries],b,4.46,12716.747375956269,7,
109,29166700531,[telecom],d,1.33,11888.695901432831,7,
110,17228439250,"[equipment,  tool, furniture, and appliance rent al and leasing]",a,6.61,24824.86998669259,7,
111,31400548982,[art dealers and galleries],b,4.26,42756.9303616213,7,
112,48549026640,"[antique shops - sales, repairs, and restoration services]",a,6.14,32496.79503795138,7,
113,28385291716,"[antique shops - sales, repairs, and restoration services]",a,6.04,167543.93568301908,7,
114,17507773571,"[hobby, toy and game shops]",a,5.89,10622.915707456552,7,
115,99785979138,[art dealers and galleries],a,6.82,11441.900770342234,8,
116,62069676741,"[equipment, tool, furniture, and appliance rent al and leasing]",a,5.73,23989.54550034576,8,
117,21755625204,[art dealers and galleries],b,3.47,23937.04167426032,8,
118,59079680636,[art dealers and galleries],a,5.68,16581.109438806474,8,
119,10739268011,[art dealers and galleries],a,6.25,33985.69250425183,8,
120,21319642626,"[antique shops - sales, repairs, and restoration services]",b,3.29,181291.05661939923,8,
121,38523766800,"[furniture, home furnishings and equipment shops,  and manufacturers, except appliances]",a,5.94,11802.52256147714,8,
122,58680132589,[art dealers and galleries],c,1.85,28317.959324818235,8,
123,93942213428,"[equipment, tool, furniture, and appliance rent al and leasing]",b,4.25,22270.343733351252,8,
124,16361981729,"[equipment, tool, furniture, and appliance rent al and leasing]",b,4.78,32668.47687901253,8,
125,12182018430,[telecom],b,3.27,16562.718402967228,8,
126,25781502446,"[antique shops - sales, repairs, and restoration services]",b,3.55,37568.7608750461,8,
127,63975991689,[telecom],b,4.79,31297.211617956258,9,
128,39469369640,[art dealers and galleries],b,3.53,39666.106383424114,9,
129,53829845678,"[jewelry, watch, clock, and silverware shops]",c,2.79,34670.016032399144,9,
130,17978936678,[motor vehicle supplies and new parts],a,6.51,31572.767493157095,9,
131,39580029434,"[hobby, toy and game shops]",b,3.28,15211.428068008889,9,
132,95135981273,"[antique shops - sales, repairs, and restoration services]",d,0.64,121271.42937613104,9,
133,58899084497,[telecom],c,1.92,24419.970360241834,9,
134,37706925794,[motor vehicle supplies and new parts],a,6.53,20415.70887497075,9,
135,94269319521,"[furniture, home furnishings and equipment shops, and manufacturers, except appliances]",b,4.25,15501.820665723093,9,
136,10346855916,"[equipment, tool, furniture, and appliance  rent al and leasing]",b,3.57,17902.686559108326,9,
137,60641607697,[art dealers and galleries],b,3.69,34740.74284464047,9,
138,30280912400,"[antique shops - sales, repairs, and restoration services]",d,0.85,70205.69961618457,9,
139,13467303030,[tent and awning shops],a,5.51,14412.40113816371,9,
140,29234580033,"[antique shops - sales, repairs, and restoration services]",a,6.19,121444.5383559399,9,
141,21384345425,[motor vehicle supplies and new parts],c,2.52,33602.77825593681,9,
142,94110063346,"[hobby, toy and game shops]",a,6.37,11970.246880413251,9,
143,31416331470,"[antique shops - sales, repairs, and restoration services]",a,6.57,46390.561025993054,9,
144,65168284301,"[jewelry, watch, clock, and silverware shops]",b,4.98,104574.59701972382,10,
145,69431337574,[telecom],c,1.64,39398.57591237952,10,
146,82736268897,"[jewelry, watch, clock, and silverware shops]",c,2.8,50445.88227372826,10,
147,62346852889,"[hobby, toy and game shops]",c,1.93,19490.826016328654,10,
148,27207000299,[bicycle shops - sales and service],a,5.84,11017.784769901531,10,
149,49784932478,[telecom],b,4.71,38859.36138331127,10,
150,51294980477,[telecom],a,5.89,33380.40425775436,10,
151,22395185606,"[furniture, home furnishings and equipment shops, and manufacturers, except appliances]",a,5.67,33329.83508720854,10,
152,65175701530,"[furniture, home furnishings and equipment  shops, and manufacturers, except appliances]",a,5.64,14501.516223556366,10,
153,37351880405,[telecom],a,6.83,30397.878694402712,10,
154,52448445000,"[computer programming , data  processing, and integrated systems design services]",b,4.48,44583.253406101234,10,
155,76094539803,[art dealers and galleries],b,5.09,19617.12179246403,10,
156,46054596841,"[equipment, tool, furniture, and appliance rent al and leasing]",a,5.83,25524.329524095498,10,
157,51390118767,[art dealers and galleries],c,3.02,31971.281733112322,10,
158,16377211887,"[jewelry, watch, clock, and silverware shops]",d,1.32,102409.0875784132,10,
159,32350997564,"[lawn and garden supply outlets, including nurseries]",a,6.74,13182.168179720782,10,
160,13747603419,"[equipment, tool, furniture, and appliance rent al and leasing]",c,1.86,18866.60066236182,10,
161,11411018019,"[hobby, toy and game shops]",c,2.17,22582.128048570583,10,
162,37670671283,"[furniture, home furnishings and equipment shops, and manufacturers, except appliances]",a,5.64,31808.893406191735,10,
163,53877856360,"[antique shops - sales, repairs, and restoration services]",a,6.43,153294.69527948092,10,
164,39700611505,"[jewelry, watch, clock, and silverware shops]",c,1.78,125749.08155146835,11,
165,31153557593,[telecom],d,1.33,30691.881662899334,11,
166,78315017938,"[hobby, toy  and game shops]",c,2.56,19775.981592177497,11,
167,95594775419,[telecom],c,2.3,47508.37786611588,11,
168,69133284840,[telecom],c,2.63,39093.10743371509,11,
169,26788127465,[art dealers and galleries],b,3.44,18323.011228936975,11,
170,81986777523,"[computer programming , data processing, and integrated systems design services]",b,4.52,49334.22214253283,11,
171,19401969640,[art dealers and galleries],b,3.9,17790.79058719947,11,
172,47864961615,[bicycle shops - sales and service],a,6.87,15702.556585101202,11,
173,88848010071,[telecom],c,2.82,40557.25921755747,11,
174,93723130289,"[antique shops - sales, repairs, and restoration services]",b,3.2,135033.67710202024,11,
175,39646859475,"[equipment, tool, furniture, and appliance rent al and leasing]",b,4.37,22346.590967605458,11,
176,43437492698,[art dealers and galleries],b,3.85,29047.644875106147,11,
177,85117752663,"[antique shops - sales, repairs, and restoration services]",a,5.52,115710.52189754645,11,
178,28836033916,"[equipment, tool, furniture, and appliance rent al and leasing]",a,5.54,21943.787611578588,11,
179,21205587568,"[equipment, tool, furniture, and appliance rent al and leasing]",b,3.57,31881.88725306752,11,
180,75289356942,[telecom],b,3.57,23956.775092112468,11,
181,51527394775,"[antique shops - sales, repairs, and restoration services]",c,1.46,165155.65522437906,11,
182,70555899232,"[equipment, tool, furniture, and appliance rent al and leasing]",a,6.3,33706.99821709362,11,
183,67223193770,"[lawn and garden supply outlets, including nurseries]",b,5.01,17194.259210564745,11,
184,85273542431,"[equipment, tool, furniture, and appliance rent al and leasing]",b,3.5,41671.52689482175,11,
185,12240378188,"[jewelry, watch, clock, and silverware shops]",b,4.35,97942.64474882733,11,
186,72082377970,"[equipment, tool, furniture, and appliance rent al and leasing]",c,3.01,24486.574551793376,12,
187,28537603098,[motor vehicle supplies and new parts],c,2.75,35604.31650384416,12,
188,53918538787,"[antique shops - sales, repairs, and restoration services]",b,3.49,340288.94632531604,12,
189,80347921120,[telecom],c,2.33,40075.56836872763,12,
190,30780133873,[telecom],c,2.1,48375.27407780587,12,
191,49514806178,"[jewelry, watch, clock, and silverware shops]",c,1.47,148138.8522480066,12,
192,69184324876,"[jewelry, watch, clock, and silverware shops]",c,1.8,197037.7436907413,12,
193,61569154734,[tent and awning shops],a,5.78,11606.651955722558,12,
194,31552582037,[telecom],b,5.04,37132.98654257428,12,
195,15010840269,"[hobby, toy and game shops]",a,6.79,19536.453860797297,12,
196,11800043583,"[jewelry, watch, clock, and silverware shops]",c,2.89,119868.37793482984,12,
197,93720983561,[telecom],c,1.99,23962.32531646275,12,
198,85444000471,[telecom],b,4.94,45198.351689791096,12,
199,46429297007,[art dealers and galleries],b,4.72,18364.31508670507,12,
200,73909892719,"[equipment, tool, furniture, and appliance rent  al and leasing]",c,2.41,29042.963279236326,12,
201,47119663770,[bicycle shops - sales and service],c,2.77,22788.736847426717,12,
202,74337286955,[art dealers and galleries],c,2.93,30810.26226224397,12,
203,88114023637,"[furniture, home furnishings and equipment shops, and manufacturers, except  appliances]",a,5.64,39526.80729065164,12,
204,67279397175,[bicycle shops - sales and service],b,3.81,12150.195476279247,12,
205,41686800806,[art dealers and galleries],a,6.72,24833.187832769217,12,
206,42392117775,[art dealers and galleries],a,6.08,29273.113722957194,13,
207,56597561444,[motor vehicle supplies and new parts],c,2.24,25654.246487732722,13,
208,58382415159,"[hobby, toy  and game shops]",a,5.82,18376.185439528643,13,
209,42454170286,[art dealers and galleries],c,1.65,51285.57280036181,13,
210,48699038894,"[equipment, tool, furniture, and appliance rent al and leasing]",c,2.04,37683.2550920962,13,
211,99807059634,[art dealers and galleries],b,3.16,44361.54618661137,13,
212,66748498849,[telecom],c,1.47,25351.129442052432,13,
213,26793253394,"[jewelry, watch, clock, and silverware shops]",c,2.36,203500.05004612025,13,
214,27529271582,"[hobby, toy  and game shops]",b,4.7,15478.496152960222,13,
215,34339412732,[tent and awning shops],b,3.97,15313.243950785563,13,
216,17175760321,"[hobby, toy and game shops]",a,6.33,17046.030665293885,13,
217,40084144447,[telecom],b,4.89,38756.51302758973,13,
218,41877503091,"[hobby, toy and game shops]",b,4.11,20406.625020044856,13,
219,96806981644,[telecom],a,6.23,47395.56639046408,13,
220,81790520013,"[equipment, tool, furniture, and appliance rent al and leasing]",a,6.81,46732.7283242359,13,
221,91062920626,[telecom],c,1.64,29330.931396537464,13,
222,38918664617,"[jewelry, watch, clock, and silverware shops]",b,3.59,264024.99804109713,13,
223,74247444320,"[lawn and garden supply outlets, including nurseries]",b,3.48,20445.17486520044,14,
224,20836895545,[telecom],b,4.97,32125.94812021996,14,
225,25117003509,"[hobby, toy and game shops]",b,3.33,23026.08630595945,14,
226,62940816804,"[equipment, tool, furniture, and appliance rent al and leasing]",b,3.8,32260.175614304833,14,
227,20803442676,[art dealers and galleries],b,3.79,38105.49859266189,14,
228,99420575685,[art dealers and galleries],b,4.78,50659.64809779566,14,
229,40996724992,"[equipment, tool, furniture, and appliance rent al and leasing]",a,6.08,47142.84458494185,14,
230,72164128552,"[furniture, home furnishings and equipment shops, and manufacturers, except appliances]",a,6.52,38451.83515300011,14,
231,78040474274,[telecom],c,2.72,25970.395317752773,14,
232,76419655212,[telecom],c,2.15,19847.48963006723,14,
233,37935728745,"[antique shops - sales, repairs, and restoration services]",b,4.12,153026.91719841718,14,
234,37481834976,"[antique shops - sales, repairs, and restoration services]",b,4.64,100503.18129174697,14,
235,17701272704,"[hobby, toy and game shops]",b,3.78,19737.96130077998,14,
236,98850646791,"[hobby, toy and game shops]",b,3.66,37497.38803516333,14,
237,76117653301,[telecom],a,6.77,43731.8665415826,14,
238,87824427219,[artist supply and craft shops],a,6.72,15491.207983517059,14,
239,32021853619,[art dealers and galleries],c,1.86,64130.03293717937,14,
240,82329510503,[telecom],e,0.3,44674.97590979062,14,
241,28034382339,[artist supply and craft shops],c,2.86,11178.43704466018,14,
242,38049816588,"[jewelry, watch, clock, and silverware shops]",b,4.67,101294.58766263226,14,
243,41027080823,"[furniture, home furnishings and equipment shops,  and manufacturers, except appliances]",a,6.89,32245.87161943399,15,
244,86451920285,"[equipment, tool, furniture, and appliance rent al and leasing]",a,5.7,52195.8578490236,15,
245,93740493847,[telecom],b,3.19,41881.32089815858,15,
246,41445137000,"[furniture, home furnishings and equipment shops, and manufacturers, except appliances]",a,6.13,41037.32205335038,15,
247,36595568885,"[hobby, toy and game shops]",b,3.12,21677.39957528926,15,
248,33150692829,[bicycle shops - sales and service],b,4.47,18305.630536066667,15,
249,15489539819,[bicycle shops - sales and service],a,5.69,18794.64251782444,15,
250,75987403052,"[hobby, toy and game shops]",c,2.18,24245.137753665786,15,
251,84895141974,"[hobby, toy and game shops]",a,6.93,19902.8279084192,16,
252,18142272571,[motor vehicle supplies and new parts],b,3.25,30502.670584987703,16,
253,17610103622,"[lawn and garden supply outlets, including nurseries]",a,5.51,35840.73341077986,16,
254,42142667769,"[equipment, tool, furniture, and appliance rent al and leasing]",a,6.79,53350.009704274475,16,
255,90494976499,"[furniture, home furnishings and equipment shops, and manufacturers, except appliances]",a,6.19,34939.42325761823,16,
256,55092047467,"[jewelry, watch, clock, and silverware shops]",c,1.95,149890.3335354566,16,
257,79070032105,"[antique shops - sales, repairs, and restoration services]",a,6.9,214884.99064758926,16,
258,93282747446,"[equipment, tool, furniture, and appliance rent al and leasing]",a,6.19,35518.13369654016,16,
259,89249209432,[tent and awning shops],b,3.99,23368.19921822768,16,
260,11975295389,[art dealers and galleries],c,2.79,30979.73159119563,16,
261,82451618238,"[hobby, toy and game shops]",b,4.13,18596.913375623357,16,
262,95824231566,[art dealers and galleries],b,4.37,18548.608838051507,16,
263,82465857700,[telecom],c,2.29,43163.207894398554,16,
264,20781273791,[art dealers and galleries],b,3.37,54470.367837048674,16,
265,74116888698,[art dealers and galleries],c,2.65,37372.53131431522,16,
266,45426079849,[bicycle shops - sales and service],c,3.0,29411.050955727456,16,
267,61941120453,[telecom],a,5.55,24826.997866756577,16,
268,23506252960,"[hobby, toy and game shops]",b,5.03,15069.674123675413,16,
269,81692875319,"[equipment, tool, furniture, and appliance rent al and leasing]",b,3.54,41595.76840937229,16,
270,74959624448,"[jewelry, watch, clock, and silverware shops]",c,2.49,192429.07355510507,16,
271,47480497674,[artist supply and craft shops],b,4.35,16697.643900753726,16,
272,61639583117,[motor vehicle supplies and new parts],b,3.72,71981.83337030267,17,
273,84478592825,"[hobby, toy and game shops]",c,3.05,23882.688051668953,17,
274,54790190524,[telecom],a,6.75,53709.19888797627,17,
275,47103021057,[art dealers and galleries],c,2.22,35187.09583890546,17,
276,74837094867,"[antique shops - sales, repairs, and restoration services]",c,3.07,346585.3059132021,17,
277,97206517936,"[equipment, tool, furniture, and appliance rent al and leasing]",a,6.35,40271.40788221355,17,
278,68731179079,"[equipment, tool, furniture, and appliance rent al and leasing]",c,1.69,30985.65171083828,17,
279,68275485458,[artist supply and craft shops],a,5.62,16111.602831039021,17,
280,75265429612,"[jewelry, watch, clock, and silverware shops]",b,4.92,160641.20155391184,17,
281,83173175334,"[antique shops - sales, repairs, and restoration services]",a,5.81,232633.21401834383,17,
282,95037235405,[telecom],b,3.8,49091.78313159787,17,
283,92596271102,[telecom],a,5.53,27144.06843444944,17,
284,50585758076,[artist supply and craft shops],a,6.14,18055.794611488254,17,
285,43828324372,[telecom],a,5.9,50972.16846567535,17,
286,62596784370,"[music shops - musical instruments, pianos, and sheet music]",c,2.28,21306.82136895598,18,
287,82931448033,"[equipment, tool, furniture, and appliance rent al and leasing]",d,0.68,68513.18693268072,18,
288,68323652165,"[antique shops - sales, repairs, and restoration services]",c,2.07,115948.7639860224,18,
289,28880110118,"[music shops - musical instruments,  pianos, and sheet music]",a,6.0,13629.973974798646,18,
290,73648278886,"[equipment, tool, furniture, and appliance rent al and leasing]",b,4.08,26527.71420834694,18,
291,36105169298,[bicycle shops - sales and service],a,6.63,20553.079047732957,18,
292,40361137142,[tent and awning shops],a,6.19,22732.584175128126,18,
293,76618399784,"[equipment, tool, furniture, and appliance rent al and leasing]",b,4.4,57292.35869025075,18,
294,45875784130,[telecom],a,6.41,51144.646655987955,18,
295,48934946153,"[furniture, home furnishings and equipment shops, and manufacturers, except appliances]",a,5.77,42279.0923175776,18,
296,57798993346,[tent and awning shops],b,4.34,18307.430355882367,18,
297,38249941422,[tent and awning shops],b,5.1,15135.835220132736,18,
298,35615649088,"[equipment, tool, furniture, and appliance rent al and leasing]",b,4.85,19816.124060833095,18,
299,46391946761,"[stationery, office supplies and printing and writing paper]",e,0.37,15448.985846782794,18,
300,91201528612,[tent and awning shops],c,3.09,17570.076478038372,19,
301,24674067743,"[jewelry, watch, clock, and silverware shops]",c,3.06,182235.9469484792,19,
302,66741987958,"[equipment, tool, furniture, and appliance rent al and leasing]",b,3.23,69393.70452996764,19,
303,32821775372,"[lawn and garden supply outlets, including nurseries]",a,6.47,22539.710475813397,19,
304,51163531045,"[music shops - musical instruments,  pianos, and sheet music]",b,4.03,11722.699761326532,19,
305,41704070214,[telecom],c,1.78,48447.153999792536,19,
306,93110588804,"[jewelry, watch, clock, and silverware shops]",b,3.86,230753.25769785093,19,
307,17649195875,"[hobby, toy and game shops]",a,6.74,46337.18855234056,19,
308,22267067774,"[furniture, home furnishings and equipment shops, and manufacturers, except appliances]",a,5.62,41633.01865868202,19,
309,29922107583,"[hobby, toy and game shops]",a,6.69,18735.7285990326,19,
310,59477140425,[health and beauty spas],b,3.92,10064.933918748826,19,
311,20352820919,[art dealers and galleries],c,2.51,24456.8629777756,19,
312,94785155422,"[lawn and garden supply outlets, including nurseries]",c,2.59,35466.01656521616,19,
313,68535898735,[motor vehicle supplies and new parts],c,2.87,64732.17458071201,19,
314,19458945909,[telecom],a,6.48,26745.49538968561,19,
315,92510629620,"[hobby, toy and game shops]",b,4.41,29592.079815028395,19,
316,45237488374,[telecom],c,1.48,42077.78574449912,20,
317,88644745666,[artist supply and craft shops],a,6.42,17831.1919272398,20,
318,92293286189,"[furniture, home furnishings and equipment shops, and manufacturers, except appliances]",b,4.6,46399.13769091817,20,
319,30900210196,"[jewelry, watch, clock, and silverware shops]",b,4.98,76182.17274447675,20,
320,39961396807,"[hobby, toy and game shops]",a,5.53,23308.239717684133,20,
321,44344566262,[art dealers and galleries],c,2.06,40816.02438834398,20,
322,30440941247,"[stationery, office supplies and printing and writing paper]",c,2.19,14169.489345513266,20,
323,72760991600,"[jewelry, watch, clock, and silverware shops]",b,4.72,195435.3174342014,20,
324,91218779711,[telecom],a,6.14,50211.452303825565,20,
325,43454001249,[telecom],b,4.97,48459.150905014416,20,
326,18814588565,"[equipment, tool, furniture, and appliance rent al and leasing]",b,4.85,51800.3633727477,20,
327,41001282470,"[antique shops - sales, repairs, and restoration services]",a,6.51,324613.6400696409,20,
328,20017721725,[telecom],b,4.84,33325.227421086194,20,
329,65462135385,"[equipment, tool, furniture, and appliance rent al and leasing]",a,6.85,35276.28498395495,20,
330,97444574441,"[hobby, toy and game shops]",b,4.83,28651.66750479267,21,
331,56738316313,"[antique shops - sales, repairs, and restoration services]",c,1.97,255746.8261528061,21,
332,85626017907,"[jewelry, watch, clock, and silverware shops]",b,3.61,208489.51073065237,21,
333,55702861356,[health and beauty spas],b,4.25,11976.861437551794,21,
334,68548907085,"[stationery, office supplies and printing and writing paper]",c,1.52,14123.41134002277,21,
335,24120162361,[artist supply and craft shops],a,5.99,12507.497571380045,21,
336,21158149109,"[jewelry, watch,  clock, and silverware shops]",d,1.02,244602.0101074239,21,
337,37358528402,"[equipment, tool, furniture, and appliance rent al and leasing]",a,5.99,71218.90047151803,21,
338,25166307673,"[furniture, home furnishings and equipment shops, and manufacturers, except appliances]",b,4.84,48922.50840803376,21,
339,68656010159,[tent and awning shops],a,5.97,19494.751141041506,22,
