,type,tags,merchant_abn,count(1)
74,b,"antique, repairs, restoration",81615080499,29
75,b,"equipment, tool, furniture, appliance rental, leasing",73648278886,13
76,b,"furniture, home furnishings, equipment, manufacturers",55902748589,25
77,d,"antique, repairs, restoration",81325516978,45
78,d,"cable, satellite, other pay television, radio",67979471799,4359
79,b,"hobby, toy, game",18582096775,1545
80,c,"bicycle,",54687916328,573
81,a,shoe,65907027247,508
82,c,"florists supplies, nursery stock, flowers",11563852275,1662
83,b,"watch, clock, jewelry repair",11791943985,1147
84,b,"tent, awning",18064155652,621
85,b,"cable, satellite, other pay television, radio",74207689493,194
86,a,"gift, card, novelty, souvenir",75239540583,135
87,b,"hobby, toy, game",71729809380,45
88,c,"equipment, tool, furniture, appliance rental, leasing",75178170066,36
89,b,"stationery, office supplies, printing, writing paper",25487349674,49
90,c,telecom,47192976569,42
91,a,"digital goods, books, movies, music",35014882568,12910
92,a,"music, musical instruments, pianos, sheet music",41302588137,242
93,a,shoe,28829519760,1587
94,d,"artist supply, craft",25176815949,1435
95,a,"gift, card, novelty, souvenir",15269431008,11587
96,a,"motor vehicle supplies, new parts",46970913786,3025
97,c,"furniture, home furnishings, equipment, manufacturers",74175386039,388
98,a,"cable, satellite, other pay television, radio",29550468444,1161
99,c,"health, beauty spas",31686734877,317
100,a,"artist supply, craft",89687562876,41
101,c,"computer programming, data processing, integrated systems design",47879799074,1048
102,c,"artist supply, craft",97418230683,248
103,b,"digital goods, books, movies, music",97353800246,313
104,a,"music, musical instruments, pianos, sheet music",35906534450,44
105,a,"bicycle,",25880142934,38
106,b,"bicycle,",22470136913,3450
107,c,"books, periodicals, newspapers",47529937246,1884
108,a,"gift, card, novelty, souvenir",12395011633,426
109,c,"florists supplies, nursery stock, flowers",15965199256,312
110,a,"hobby, toy, game",99845294286,677
111,c,"gift, card, novelty, souvenir",10462560289,1358
112,a,"gift, card, novelty, souvenir",71910092040,734
113,a,telecom,82368304209,4324
114,a,"florists supplies, nursery stock, flowers",20642885273,425
115,c,telecom,68874243493,236
116,b,shoe,68092012436,808
117,a,"bicycle,",71118957552,37
118,d,"florists supplies, nursery stock, flowers",23754348523,1523
119,a,"opticians, optical goods, eyeglasses",75517762890,66
120,b,"music, musical instruments, pianos, sheet music",71612636096,319
121,c,telecom,98020727651,30
122,a,"gift, card, novelty, souvenir",53378405666,140
123,b,"furniture, home furnishings, equipment, manufacturers",91104916025,138
124,a,"artist supply, craft",75419006735,193
125,b,"stationery, office supplies, printing, writing paper",86143428477,189
126,a,"florists supplies, nursery stock, flowers",63275985428,77
127,c,telecom,30780133873,10
128,a,"motor vehicle supplies, new parts",10441711491,3
129,b,"motor vehicle supplies, new parts",61939167097,5
130,a,"computers, computer peripheral equipment, software",16288327194,3134
131,c,"lawn, garden supply outlets, including nurseries",71355732473,1395
132,a,"cable, satellite, other pay television, radio",60111071436,8538
133,b,"florists supplies, nursery stock, flowers",14602793938,146
134,c,"tent, awning",89518629617,12075
135,a,"books, periodicals, newspapers",31397959824,5058
136,b,"books, periodicals, newspapers",87340243269,1585
137,b,"furniture, home furnishings, equipment, manufacturers",33495932835,1871
138,b,"lawn, garden supply outlets, including nurseries",50600353536,493
139,c,"furniture, home furnishings, equipment, manufacturers",61412665910,7654
140,c,"artist supply, craft",73674297591,3264
141,a,"watch, clock, jewelry repair",57566534349,3764
142,a,"stationery, office supplies, printing, writing paper",69236417931,1020
143,b,"equipment, tool, furniture, appliance rental, leasing",57573802697,685
144,a,"watch, clock, jewelry repair",63461436707,812
145,b,"antique, repairs, restoration",17335347560,188
146,a,"health, beauty spas",49482116099,634
147,a,"florists supplies, nursery stock, flowers",78213188724,2107
148,c,"computer programming, data processing, integrated systems design",22900076341,175
149,a,shoe,29778062495,98
150,b,"watch, clock, jewelry repair",13103397121,246
151,a,"stationery, office supplies, printing, writing paper",92935086354,38
152,a,"computers, computer peripheral equipment, software",86441371046,21
153,b,telecom,43454001249,19
154,b,"hobby, toy, game",82451618238,11
155,c,"jewelry, watch, clock, silverware",59039508122,54
156,d,"stationery, office supplies, printing, writing paper",93732268717,53
157,b,"computer programming, data processing, integrated systems design",77590625261,20963
158,b,"motor vehicle supplies, new parts",27086915609,2784
159,a,"gift, card, novelty, souvenir",91847992723,1566
160,b,"digital goods, books, movies, music",38598071783,1425
161,b,"health, beauty spas",94701884796,1730
162,d,"stationery, office supplies, printing, writing paper",30779952495,1036
163,a,"equipment, tool, furniture, appliance rental, leasing",56530958295,205
164,b,"hobby, toy, game",75874457161,804
165,b,"stationery, office supplies, printing, writing paper",86899611571,70
166,b,shoe,61335088393,424
167,c,"furniture, home furnishings, equipment, manufacturers",26267439458,1925
168,c,"florists supplies, nursery stock, flowers",12296390138,172
169,b,"books, periodicals, newspapers",35246778333,68
170,b,"opticians, optical goods, eyeglasses",60429241521,110
171,b,shoe,15353137412,57
172,c,"computers, computer peripheral equipment, software",54171624416,95
173,a,"art dealers, galleries",98166254020,3380
174,a,"digital goods, books, movies, music",73343245974,9957
175,c,shoe,41170595493,5648
176,a,telecom,61085944703,325
177,a,"books, periodicals, newspapers",79830510987,2663
178,c,"tent, awning",46389689213,588
179,c,"opticians, optical goods, eyeglasses",76369909295,1388
180,a,"stationery, office supplies, printing, writing paper",96178360210,146
181,d,"books, periodicals, newspapers",45504841435,88
182,c,"stationery, office supplies, printing, writing paper",56023220219,27
183,b,telecom,55407818029,59
184,a,"artist supply, craft",67978471888,10380
185,a,"lawn, garden supply outlets, including nurseries",75723980434,3703
186,a,"digital goods, books, movies, music",91873181182,21721
187,a,"tent, awning",62607401721,1756
188,a,"digital goods, books, movies, music",11285988014,5588
189,a,"digital goods, books, movies, music",62403837535,3245
190,c,shoe,38675657098,233
191,c,"digital goods, books, movies, music",82081024598,3381
192,c,telecom,81836621910,368
193,c,"artist supply, craft",27406636146,681
194,d,"tent, awning",14336275166,1109
195,c,"health, beauty spas",85730774549,71
196,a,"music, musical instruments, pianos, sheet music",92077815673,97
197,a,"computer programming, data processing, integrated systems design",82448693380,4779
198,b,"digital goods, books, movies, music",15560455575,24330
199,b,"tent, awning",61481587663,9344
200,a,shoe,47459279421,4147
201,c,"artist supply, craft",78637548196,912
202,c,"hobby, toy, game",12374632228,59
203,a,"florists supplies, nursery stock, flowers",50138044308,1034
204,a,"books, periodicals, newspapers",17541067926,79
205,b,"motor vehicle supplies, new parts",89973342551,417
206,a,"health, beauty spas",68189578822,634
207,b,"opticians, optical goods, eyeglasses",25349409223,400
208,a,"equipment, tool, furniture, appliance rental, leasing",96133248275,740
209,a,"watch, clock, jewelry repair",29491615873,113
210,c,"artist supply, craft",51043338345,521
211,c,"equipment, tool, furniture, appliance rental, leasing",72286618594,67
212,b,"equipment, tool, furniture, appliance rental, leasing",12103450178,31
213,c,"motor vehicle supplies, new parts",56597561444,9
214,b,"digital goods, books, movies, music",66567150019,9818
215,b,"health, beauty spas",74391255526,4294
216,c,"motor vehicle supplies, new parts",48256546416,3396
217,b,"computer programming, data processing, integrated systems design",15441635442,5866
218,a,"watch, clock, jewelry repair",58476363584,16471
219,b,"lawn, garden supply outlets, including nurseries",88393306198,5924
220,c,"equipment, tool, furniture, appliance rental, leasing",38710494876,764
221,b,shoe,99241925348,1154
222,c,"florists supplies, nursery stock, flowers",13401263605,198
223,c,"motor vehicle supplies, new parts",60876328805,345
224,a,"gift, card, novelty, souvenir",45281821904,359
225,c,"stationery, office supplies, printing, writing paper",94793419942,61
226,a,"antique, repairs, restoration",68591542501,3
227,c,"hobby, toy, game",31068797937,73
228,c,"florists supplies, nursery stock, flowers",66527348775,38
229,a,"computer programming, data processing, integrated systems design",34365441985,95
230,a,"artist supply, craft",35387407637,40
231,c,"stationery, office supplies, printing, writing paper",35385390863,43
232,b,"tent, awning",75454398468,4983
233,a,"gift, card, novelty, souvenir",15582655078,4443
234,b,"art dealers, galleries",49285644021,168
235,c,"bicycle,",82912636758,1044
236,b,"cable, satellite, other pay television, radio",74321541375,1315
237,a,"stationery, office supplies, printing, writing paper",80621802588,171
238,b,"hobby, toy, game",16432242544,75
239,c,telecom,67920961191,343
240,c,shoe,48687812209,54
241,a,"furniture, home furnishings, equipment, manufacturers",68631449246,267
242,c,"health, beauty spas",40836710601,24
243,a,"health, beauty spas",82388404800,100
244,a,"computer programming, data processing, integrated systems design",63491526748,60
245,c,telecom,71475747855,3
246,b,"digital goods, books, movies, music",49505931725,57037
247,b,"digital goods, books, movies, music",52065114842,17612
248,a,"music, musical instruments, pianos, sheet music",64403598239,94850
249,a,"tent, awning",61991570212,10742
250,c,"florists supplies, nursery stock, flowers",51659779274,3692
251,b,"stationery, office supplies, printing, writing paper",74449830326,3608
252,b,"florists supplies, nursery stock, flowers",86130660254,826
253,c,"gift, card, novelty, souvenir",36861014911,522
254,b,"gift, card, novelty, souvenir",17465489150,594
255,a,"cable, satellite, other pay television, radio",74509504696,180
256,a,"stationery, office supplies, printing, writing paper",81561729667,296
257,c,"watch, clock, jewelry repair",71922512366,105
258,d,"gift, card, novelty, souvenir",87211363921,541
259,b,"stationery, office supplies, printing, writing paper",18525353549,754
260,a,"hobby, toy, game",21911286661,396
261,c,"furniture, home furnishings, equipment, manufacturers",77834689084,149
262,a,"hobby, toy, game",66941458060,611
263,c,shoe,36479085063,211
264,c,"florists supplies, nursery stock, flowers",33076003501,168
265,a,"cable, satellite, other pay television, radio",12578813079,161
266,b,shoe,16903677169,52
267,a,"equipment, tool, furniture, appliance rental, leasing",97802179094,105
268,b,"motor vehicle supplies, new parts",67501420176,191
269,c,"bicycle,",23455487331,241
270,d,"computers, computer peripheral equipment, software",65453072511,48
271,c,"jewelry, watch, clock, silverware",26793253394,13
272,a,"bicycle,",99802335254,30
273,b,"hobby, toy, game",56626211479,3598
274,a,"opticians, optical goods, eyeglasses",48534649627,55666
275,e,"stationery, office supplies, printing, writing paper",66952421200,182
276,a,"lawn, garden supply outlets, including nurseries",29639699851,7869
277,a,"watch, clock, jewelry repair",97952361004,913
278,c,"tent, awning",97211373669,1676
279,b,"digital goods, books, movies, music",15625166573,3097
280,a,"digital goods, books, movies, music",39542524740,574
281,a,"florists supplies, nursery stock, flowers",26063968667,1778
282,c,"computer programming, data processing, integrated systems design",86010199872,2656
283,c,"music, musical instruments, pianos, sheet music",68699353442,594
284,a,"gift, card, novelty, souvenir",45578529693,210
285,a,"gift, card, novelty, souvenir",72397853535,1120
286,b,"watch, clock, jewelry repair",83802687736,203
287,a,"opticians, optical goods, eyeglasses",40242962373,453
288,c,"bicycle,",52069051820,982
289,b,"books, periodicals, newspapers",74719827885,599
290,c,"jewelry, watch, clock, silverware",14530561097,153
291,a,telecom,37351880405,10
292,a,"artist supply, craft",25644665418,248
293,a,"hobby, toy, game",24462154202,52
294,b,"health, beauty spas",58380745308,66
295,c,"equipment, tool, furniture, appliance rental, leasing",48699038894,11
296,a,"motor vehicle supplies, new parts",16423528990,34
297,b,"jewelry, watch, clock, silverware",21263722044,36
298,c,"jewelry, watch, clock, silverware",11800043583,11
299,a,"motor vehicle supplies, new parts",17978936678,9
300,a,"digital goods, books, movies, music",28230498046,9319
301,b,shoe,24070342853,7759
302,c,"gift, card, novelty, souvenir",88435572170,4220
303,a,shoe,19465180165,1932
304,b,"motor vehicle supplies, new parts",81002603831,4871
305,a,"digital goods, books, movies, music",92075595936,1792
306,c,shoe,28935822912,4407
307,d,"antique, repairs, restoration",90404167929,2420
308,c,"computers, computer peripheral equipment, software",17429613585,313
309,b,"cable, satellite, other pay television, radio",85071946566,1726
310,a,"cable, satellite, other pay television, radio",68100435968,1018
311,b,"opticians, optical goods, eyeglasses",50027089877,121
312,c,"bicycle,",51493378591,357
313,b,"watch, clock, jewelry repair",42497793396,93
314,a,shoe,88630093420,509
315,c,"jewelry, watch, clock, silverware",74959624448,14
316,b,"computer programming, data processing, integrated systems design",14089706307,119
317,c,"bicycle,",38986645707,34
318,b,"tent, awning",96568074533,48
319,c,shoe,78150905875,41
320,b,"art dealers, galleries",39469369640,8
321,a,"antique, repairs, restoration",72058040180,77
322,b,"florists supplies, nursery stock, flowers",80682333501,23556
323,b,"tent, awning",70033549200,6724
324,a,"gift, card, novelty, souvenir",12870663624,11425
325,a,"artist supply, craft",93121740143,114
326,b,"motor vehicle supplies, new parts",75902032169,2906
327,a,"lawn, garden supply outlets, including nurseries",43711175854,1969
328,a,"opticians, optical goods, eyeglasses",39434518372,1332
329,b,"furniture, home furnishings, equipment, manufacturers",73731446835,2867
330,b,"stationery, office supplies, printing, writing paper",27888724678,2243
331,a,"hobby, toy, game",36139372130,409
332,a,"gift, card, novelty, souvenir",26925196872,245
333,c,"books, periodicals, newspapers",58835628923,734
334,c,"florists supplies, nursery stock, flowers",93024682653,228
335,a,"equipment, tool, furniture, appliance rental, leasing",12741443840,381
336,b,"motor vehicle supplies, new parts",70027786217,138
337,e,"digital goods, books, movies, music",57079678065,559
338,a,"watch, clock, jewelry repair",18714755910,95
339,c,"artist supply, craft",24131662787,191
340,a,"lawn, garden supply outlets, including nurseries",69030600619,14
341,b,"art dealers, galleries",80779713037,106
342,b,"bicycle,",83808082504,28
343,a,"opticians, optical goods, eyeglasses",82851440438,45
344,a,"music, musical instruments, pianos, sheet music",51332765081,33
345,b,"gift, card, novelty, souvenir",37243721612,1874
346,d,"motor vehicle supplies, new parts",31630375469,2557
347,b,"gift, card, novelty, souvenir",59329605791,1015
348,b,"furniture, home furnishings, equipment, manufacturers",53258875124,460
349,a,"computers, computer peripheral equipment, software",31238575689,88
350,c,"computers, computer peripheral equipment, software",25619276404,50
351,a,"health, beauty spas",90684382197,725
352,a,"artist supply, craft",52827561456,156
353,a,"motor vehicle supplies, new parts",63862862264,74
354,b,telecom,49784932478,9
355,a,"music, musical instruments, pianos, sheet music",73823772191,106
356,c,"music, musical instruments, pianos, sheet music",94631077822,115
357,a,"cable, satellite, other pay television, radio",41974958954,17518
358,b,"opticians, optical goods, eyeglasses",60602272553,5821
359,b,"books, periodicals, newspapers",14145464079,163
360,b,"digital goods, books, movies, music",96146457679,3311
361,a,"equipment, tool, furniture, appliance rental, leasing",98627514823,410
362,b,"computer programming, data processing, integrated systems design",86907350198,414
363,c,"equipment, tool, furniture, appliance rental, leasing",35769589414,483
364,a,"opticians, optical goods, eyeglasses",47124041214,47
365,c,"watch, clock, jewelry repair",23055736061,451
366,a,"florists supplies, nursery stock, flowers",76314317957,27919
367,b,"music, musical instruments, pianos, sheet music",48465277903,5081
368,a,"gift, card, novelty, souvenir",11944993446,9214
369,b,"gift, card, novelty, souvenir",70172340121,13287
370,a,"cable, satellite, other pay television, radio",31940875883,11026
371,a,"florists supplies, nursery stock, flowers",74369182597,1998
372,c,"computers, computer peripheral equipment, software",88568633938,975
373,a,"digital goods, books, movies, music",48701447259,5315
374,c,"furniture, home furnishings, equipment, manufacturers",17107204463,6969
375,b,"tent, awning",79446222046,298
376,a,"computers, computer peripheral equipment, software",76722958482,54
377,a,"cable, satellite, other pay television, radio",51258621486,429
378,b,"art dealers, galleries",32566134208,55
379,c,"lawn, garden supply outlets, including nurseries",84674182559,369
380,c,"opticians, optical goods, eyeglasses",85717338751,90
381,c,"computer programming, data processing, integrated systems design",97164071366,91
382,a,"computer programming, data processing, integrated systems design",62029309613,245
383,a,shoe,76351957431,66
384,b,"tent, awning",38249941422,15
385,b,"stationery, office supplies, printing, writing paper",90360585833,27
386,a,"artist supply, craft",40515428545,10936
387,a,"digital goods, books, movies, music",85490345732,3913
388,a,"furniture, home furnishings, equipment, manufacturers",21094505909,3537
389,a,"stationery, office supplies, printing, writing paper",23109950638,3080
390,c,"lawn, garden supply outlets, including nurseries",48185232979,45
391,b,"furniture, home furnishings, equipment, manufacturers",62015733331,609
392,a,"computers, computer peripheral equipment, software",46007761675,497
393,a,shoe,79178157512,289
394,a,"digital goods, books, movies, music",69123307057,1764
395,c,"motor vehicle supplies, new parts",88052624284,638
396,c,"art dealers, galleries",48220830699,40
397,c,"cable, satellite, other pay television, radio",31681476434,302
398,b,"computer programming, data processing, integrated systems design",99009287608,228
399,b,"bicycle,",12888399565,494
400,b,"artist supply, craft",94973496683,93
401,a,"computers, computer peripheral equipment, software",62981190818,138
402,b,"hobby, toy, game",27529271582,10
403,b,"bicycle,",71236652596,7296
404,a,shoe,60650953328,6489
405,c,"tent, awning",19933438190,56660
406,a,"cable, satellite, other pay television, radio",90320801414,2309
407,b,"books, periodicals, newspapers",46877655150,2431
408,a,"books, periodicals, newspapers",25732256442,11542
409,a,"furniture, home furnishings, equipment, manufacturers",88539253623,331
410,b,"computers, computer peripheral equipment, software",39260384047,662
411,b,"music, musical instruments, pianos, sheet music",26942003693,233
412,a,"books, periodicals, newspapers",69913521743,1304
413,a,"watch, clock, jewelry repair",51304261149,644
414,b,"computer programming, data processing, integrated systems design",86904466480,269
415,a,"computers, computer peripheral equipment, software",56236492160,264
416,a,"tent, awning",52838486584,657
417,c,"hobby, toy, game",91760304024,366
418,c,"lawn, garden supply outlets, including nurseries",31420388495,654
419,c,"equipment, tool, furniture, appliance rental, leasing",30429611528,82
420,a,"digital goods, books, movies, music",27470466523,190
421,c,"furniture, home furnishings, equipment, manufacturers",39660241973,142
422,c,"gift, card, novelty, souvenir",31029589578,80
423,b,"lawn, garden supply outlets, including nurseries",93903889529,133
424,a,"music, musical instruments, pianos, sheet music",37470904997,47
425,a,"books, periodicals, newspapers",95042115737,51
426,a,"antique, repairs, restoration",14616123867,3
427,b,"equipment, tool, furniture, appliance rental, leasing",76618399784,14
428,b,"equipment, tool, furniture, appliance rental, leasing",80762852492,6
429,a,"computer programming, data processing, integrated systems design",74319969182,1557
430,c,"artist supply, craft",89932674734,14547
431,b,"health, beauty spas",18146314043,273
432,a,"watch, clock, jewelry repair",99786288465,1222
433,a,"computer programming, data processing, integrated systems design",45244796758,7707
434,a,"cable, satellite, other pay television, radio",57021295485,3034
435,e,"florists supplies, nursery stock, flowers",48666632255,79
436,a,"music, musical instruments, pianos, sheet music",60023412760,2165
437,c,"computer programming, data processing, integrated systems design",23661821077,11997
438,d,"cable, satellite, other pay television, radio",17294075449,163
439,a,"bicycle,",83887431107,1147
440,a,shoe,66917621463,1147
441,a,"music, musical instruments, pianos, sheet music",50476338980,325
442,b,"artist supply, craft",87070619541,35
443,b,"furniture, home furnishings, equipment, manufacturers",58866359477,327
444,a,"bicycle,",37069107801,163
445,c,"artist supply, craft",95508089614,162
446,b,"equipment, tool, furniture, appliance rental, leasing",34268093162,386
447,b,"bicycle,",83373791025,188
448,b,"equipment, tool, furniture, appliance rental, leasing",85273542431,5
449,c,"cable, satellite, other pay television, radio",79786100790,95
450,a,"hobby, toy, game",69936752900,35
451,b,"cable, satellite, other pay television, radio",17739089622,14967
452,a,"computer programming, data processing, integrated systems design",58454491168,22259
453,c,"florists supplies, nursery stock, flowers",49925232405,3405
454,b,telecom,93260930990,2001
455,a,"health, beauty spas",54327105512,2342
456,a,"stationery, office supplies, printing, writing paper",15544195408,98
457,b,"computers, computer peripheral equipment, software",28622174594,1374
458,b,"lawn, garden supply outlets, including nurseries",86596364671,72
459,c,"computers, computer peripheral equipment, software",57984259689,642
460,c,"books, periodicals, newspapers",26259500279,138
461,c,shoe,22335198868,658
462,b,"books, periodicals, newspapers",72434058183,607
463,a,"opticians, optical goods, eyeglasses",42633587085,94
464,a,"artist supply, craft",64185141673,87
465,a,"books, periodicals, newspapers",25499263184,64
466,a,"artist supply, craft",74882079282,51
467,b,"furniture, home furnishings, equipment, manufacturers",79572520294,92
468,d,"florists supplies, nursery stock, flowers",82636765812,414
469,c,"equipment, tool, furniture, appliance rental, leasing",29351616009,295
470,a,"artist supply, craft",37238742140,22
471,c,"gift, card, novelty, souvenir",75393511037,2639
472,c,"tent, awning",95279812400,5997
473,a,"books, periodicals, newspapers",72738688428,7123
474,b,"cable, satellite, other pay television, radio",66186109508,1284
475,a,"opticians, optical goods, eyeglasses",42191818419,597
476,a,"motor vehicle supplies, new parts",38243146530,822
477,a,"computers, computer peripheral equipment, software",75090756544,3157
478,a,"artist supply, craft",30169909013,101
479,c,"florists supplies, nursery stock, flowers",42368556376,1763
480,c,"artist supply, craft",75238031489,2386
481,a,"computers, computer peripheral equipment, software",67882460777,1192
482,d,"bicycle,",33084912594,1025
483,a,"computer programming, data processing, integrated systems design",87711607508,250
484,b,"watch, clock, jewelry repair",15446964877,483
485,a,"artist supply, craft",38325541616,259
486,c,"artist supply, craft",57937788884,85
487,b,"lawn, garden supply outlets, including nurseries",33070920679,102
488,b,"artist supply, craft",70214456178,44
489,b,"digital goods, books, movies, music",32772607667,531
490,a,"bicycle,",57253456204,899
491,a,"tent, awning",96554417129,2788
492,b,"computers, computer peripheral equipment, software",37459245212,19459
493,a,"watch, clock, jewelry repair",83679168109,312
494,a,"computer programming, data processing, integrated systems design",54071870652,133
495,a,"lawn, garden supply outlets, including nurseries",22718657980,2926
496,b,"furniture, home furnishings, equipment, manufacturers",77690613296,5275
497,b,"computers, computer peripheral equipment, software",24627889739,364
498,a,"music, musical instruments, pianos, sheet music",24164521701,312
499,a,"gift, card, novelty, souvenir",41697741069,178
500,a,"opticians, optical goods, eyeglasses",63071746690,355
501,b,"artist supply, craft",84213521057,128
502,a,"opticians, optical goods, eyeglasses",97069390689,761
503,c,"health, beauty spas",46017523620,257
504,c,"music, musical instruments, pianos, sheet music",35883675055,358
505,a,"florists supplies, nursery stock, flowers",83901679234,47
506,b,"equipment, tool, furniture, appliance rental, leasing",33581972361,29
507,c,"cable, satellite, other pay television, radio",71350572766,12870
508,d,"florists supplies, nursery stock, flowers",80982848464,6959
509,a,shoe,12034469787,4436
510,b,"digital goods, books, movies, music",84391677958,1201
511,c,"books, periodicals, newspapers",22487474791,1544
512,b,telecom,71361928741,466
513,a,shoe,13255205539,1729
514,a,"gift, card, novelty, souvenir",48770246749,185
515,a,"cable, satellite, other pay television, radio",45339304653,956
516,a,"cable, satellite, other pay television, radio",79657127260,870
517,a,"opticians, optical goods, eyeglasses",31363277682,123
518,b,"music, musical instruments, pianos, sheet music",56140067651,39
519,c,"lawn, garden supply outlets, including nurseries",42309113034,217
520,a,"stationery, office supplies, printing, writing paper",13461552885,111
521,a,"furniture, home furnishings, equipment, manufacturers",70344541271,78
522,b,"equipment, tool, furniture, appliance rental, leasing",81692875319,12
523,a,"art dealers, galleries",35787272183,25
524,b,"antique, repairs, restoration",11590404675,45
525,b,"stationery, office supplies, printing, writing paper",26358864089,235
526,a,"books, periodicals, newspapers",13812221471,3881
527,b,"lawn, garden supply outlets, including nurseries",53635885278,223
528,a,"furniture, home furnishings, equipment, manufacturers",78522984877,2038
529,c,"computer programming, data processing, integrated systems design",44915049915,1949
530,b,"digital goods, books, movies, music",72724420494,2311
531,b,telecom,43930439013,257
532,a,"cable, satellite, other pay television, radio",61238934884,375
533,b,"opticians, optical goods, eyeglasses",68699143999,985
534,b,"lawn, garden supply outlets, including nurseries",31003199153,118
535,a,"hobby, toy, game",42464370262,3986
536,b,"computers, computer peripheral equipment, software",18112900644,229
537,b,"tent, awning",69327757904,1730
538,c,"equipment, tool, furniture, appliance rental, leasing",69576401798,125
539,a,"motor vehicle supplies, new parts",98203593138,56
540,a,"digital goods, books, movies, music",11981237946,363
541,c,"stationery, office supplies, printing, writing paper",40916035557,79
542,b,"antique, repairs, restoration",20510478676,1046
543,b,"motor vehicle supplies, new parts",37850439589,140
544,a,"florists supplies, nursery stock, flowers",10545955006,363
545,a,"computer programming, data processing, integrated systems design",21498909695,64
546,b,"lawn, garden supply outlets, including nurseries",60403857139,135
547,b,"computers, computer peripheral equipment, software",12171241826,127
548,c,"cable, satellite, other pay television, radio",89245892885,146
549,b,"jewelry, watch, clock, silverware",99022662131,47
550,b,"stationery, office supplies, printing, writing paper",89175693833,84
551,a,"computers, computer peripheral equipment, software",10648956813,18297
552,a,"cable, satellite, other pay television, radio",80508375382,4872
553,c,"lawn, garden supply outlets, including nurseries",37379915451,22028
554,a,"digital goods, books, movies, music",92990617267,11025
555,a,"computer programming, data processing, integrated systems design",43671774465,2943
556,b,shoe,78091331382,2607
